Error Code,Error Msg,
CEN001,"資料錯誤	含控制碼或不全中文	請核對 ERRFILE",
DC4200,"無法與遠地主機建立連線                                                                         		",
DC4201,"工作站與主機連線中斷                                                                             		",
DC4202,TCP/IP 網路作業有問題,"		"
DC4203,"主機作業有問題	無法回覆資料                                                                	",
DC4204,"工作站作業之資料及程序有問題                                                             		",
DC4205,其他未定義之錯誤,"		"
FLC001,"此欄位中不可含有半型字元                                                                     		",
IDC001,統號位數不夠,"		"
IDC002,"統號第一字元為大寫英文字母                                                                 		",
IDC003,"統號第二至第十字元為阿拉伯數字                                                         		",
IDC004,統號檢查碼錯誤,"		"
IDC005,"統號第二字元僅能為 1 或 2                                                                        		",
IDC006,工作站編號錯誤,"		"
III001,"下一畫面不存在	代號為......                                                                      	",
OPC001,密碼錯誤,"		"
OPC002,使用者代碼錯誤,"	"
OPC003,使用者等級不夠,"	"
OPC004,使用者密碼不一致,"	"
OPC005,"使用者主機密碼不一致                                                                             	",
PAS001,"本欄位無強迫跳越功能                                                                             	",
PAS002,"讀取畫面表格定義檔 wsfdefni 失敗                                                               	",
PAS003,"本欄位無強迫跳越功能                                                                             	",
PDF001,代碼檔開啟失敗,"	"
PDF002,代碼檔開啟失敗,"	"
PDF003,代碼轉換失敗,"	"
PRN001,"資料列印中	 請稍候!",
PRN002,印表機開啟失敗,"	"
PRN003,開啟 /dev/null 列印失敗,"	"
PRN004,"印表機控制檔 wsfptctl.dat 開啟失敗                                                               	",
PRN005,"印表機控制檔無此印表機控制器資料                                                     	",
RE0000,批次作業執行成功,"	"
RE0001,"遠地未回覆訊息	 請稍後再執行",
RE0002,"請執行對外即時通報狀況查詢作業                                                         	",
RE0003,"請執行對外即時通報狀況查詢作業                                                         	",
RE0004,"遠地未回覆訊息	 請人工介入處理",
RE0005,"系統現在無法執行連線作業                                                                     	",
RE0006,作業執行錯誤,"	"
RE0007,更改密碼成功,"	"
RE0008,批次作業已開始執行,"	"
RE0009,批次作業無法執行,"	"
RE0010,連線系統未開啟,"	"
RE0011,工作站代號錯誤,"	"
RE0012,使用者代號錯誤,"	"
RE0013,簽到資料區讀取失敗,"	"
RE0014,主機密碼錯誤,"	"
RE0015,簽到失敗(REWRITE 不成功),"	"
RE0016,使用者姓名錯誤,"	"
RE0017,簽退失敗(REWRITE 不成功),
RE0018,REDFPSWD REWRITE 失敗,
RE0019,使用者簽到完成,
RE0020,使用者簽退完成,
RE0021,REDFSWA 開啟失敗,
RE0022,REDFSWA 檔案被鎖，請再執行,
RE0023,交易代號第 6 位錯誤,
RE0024,REDFSWA 寫檔失敗,
RE0026,APO 程式未定義,
RE0027,請執行外來即時通報處理作業,
RE0028,本工作站尚有未發送之即時通報,
RE0029,本作業此時不准執行,
RE0031,交易目的地代號與本地代號不符,
RE0032,交易起始地不合法,
RE0033,交易起始地未電腦化,
RE0034,遠地交易代碼錯誤
RE0035,外來即時通報檔寫檔失敗
RE0036,對外即時通報記錄檔讀檔失敗
RE0037,對外即時通報記錄檔寫檔失敗
RE0038,遠端主機無法寫入通報檔
RE0039,遠端主機尚未收妥即時通報資料
RE0040,戶所至遠端主機執行開機登記失敗
RE0041,戶籍登記作業交易記錄寫檔失敗
RE0042,批次作業執行記錄寫檔失敗
RE0043,備援主機尚未設定為備援狀態
RE0044,遠地主機為備援資料回復中，無法取得資料
RE0051,REDFSIGN 開啟失敗
RE0052,REDFCODE 開啟失敗
RE0053,BNOT-FILE 開啟失敗
RE0054,REDFBLOG 開啟失敗
RE0055,REDFSIGN 寫入失敗
RE0061,TWA 內容不一致,
RE0101,交易控制區不存在,
RE0102,交易控制區無法寫回 TMQ,
RE0103,交易代號第 1 位錯誤,
RE0104,交易代號第 2 - 5 位錯誤,
RE0105,REDFMSLG 開啟失敗,
RE0106,REDFMSLG 寫檔失敗,
RE0111,無法讀取系統狀態區,
RE0112,無法寫入系統狀態區,
"""RE011","3非同類系統無 """"90"""" 功能",""""
RE0120,REDFONST 開啟失敗,
RE0121,REDFONST 讀取失敗,
RE0122,REDFONST 寫入失敗,
RE0123,REDFONST 更新失敗,
RE0125,REDFOFTS 開啟失敗,
RE0126,REDFOFTS 讀取失敗,
RE0127,REDFOFTS 更新失敗
RE0128,REDFOFTS 起始失敗
RE0129,REDFNDNF 開啟失敗
RE0130,REDFNDNF 讀取失敗
RE0131,REDFNDNF 刪除記錄失敗
RE0133,REDFEDFG 開啟失敗
RE0134,REDFEDFG 讀取失敗
RE0135,異地登記記錄檔開檔失敗
RE0136,異地登記記錄檔讀取失敗
RE0137,異地登記作業系統別錯誤
RE0138,異地登記記錄資料已存在
RE0139,異地登記記錄檔寫檔失敗
RE0140,異地登記記錄資料不存在
RE0141,業務受理地不能輸入民政局或兵役處
RE0142,他方戶所及異地登記只能擇一查詢
RE0143,本作業在異地登記狀態下不可執行
RE1151,啟始交易設定失敗
RE1161,資料庫回復失敗
RE1171,確認資料庫更新失敗
RE11C1,建立 TWAFILE 失敗
RE11D1,取得 TWAFILE 失敗
RE1321,資料庫多筆存入失敗
RE1411,清除 DSA 失敗
RE1412,清除 DSA 失敗
RE1413,清除 DSA 失敗
RE1431,置入回覆即時通報控制區失敗
RE1432,置入交易控制區失敗
RE1433,置入交易控制區失敗
RE1434,置入即時通報控制區失敗
RE1441,處理代碼修改失敗
RE1451,讀取交易控制區失敗
RE1452,讀取遠地資料讀取控制區失敗
RE1453,讀取即時通報控制區失敗,
RE1454,"讀取回覆即時通報控制區失敗                                                                 	",
RE1461,"資料檔所在位置旗幟修改失敗                                                                 	",
RE1511,建立 DSA 失敗,"	"
RE1512,建立 DSA 失敗,"	"
RE1521,刪除 DSA 失敗,"	"
RE1522,刪除 DSA 失敗,"	"
RE1531,建立 DSA 索引失敗,"	"
RE1532,建立 DSA 索引失敗,"	"
